equipo local,goles local,goles visita,equipo visita
Nashville SC,1,1,Philadelphia Union
FC Cincinnati,2,0,Toronto FC
Charlotte FC,1,0,Inter Miami CF
Montreal Impact,4,1,Orlando City
Atlanta United FC,4,1,Chicago Fire
New York Red Bulls,1,1,Portland Timbers
New York City,0,0,Sporting Kansas City
New England Revolution,2,2,Columbus Crew
DC United,2,0,Houston Dynamo
Minnesota United FC,0,1,FC Cincinnati
FC Dallas,2,0,Seattle Sounders
San José Earthquakes,1,0,Colorado Rapids
Los Angeles FC,2,2,Philadelphia Union
Vancouver Whitecaps,1,0,Toronto FC
