match,team,player,minutes,position,number,goal_total,goal_conceded,goal_assists,goal_saves,passes_total,passes_key,passes_accuracy,tackles_total,tackles_blocks,tackles_interceptions,dribbles_attempts,dribbles_success,dribbles_past
710656,42.0,20355.0,90.0,G,32.0,,0.0,,1.0,32.0,,27.0,,,,,,
710656,42.0,2597.0,90.0,D,18.0,,0.0,,,49.0,2.0,41.0,5.0,,,1.0,,1.0
710656,42.0,19959.0,90.0,D,4.0,,0.0,,,81.0,,70.0,,3.0,2.0,4.0,2.0,1.0
710656,42.0,22224.0,90.0,D,6.0,,0.0,,,77.0,,73.0,1.0,1.0,,,,
710656,42.0,41577.0,90.0,D,20.0,,0.0,,,35.0,,27.0,1.0,,,4.0,2.0,1.0
710656,42.0,1460.0,89.0,M,7.0,,0.0,,,29.0,2.0,22.0,3.0,,,5.0,3.0,
710656,42.0,1427.0,90.0,M,23.0,,0.0,,,70.0,,61.0,1.0,,1.0,,,
710656,42.0,1456.0,90.0,M,15.0,,0.0,,,34.0,1.0,29.0,5.0,,2.0,1.0,1.0,
710656,42.0,1161.0,86.0,M,10.0,1.0,0.0,,,24.0,,23.0,1.0,,,1.0,1.0,1.0
710656,42.0,1467.0,69.0,F,9.0,,0.0,,,19.0,1.0,12.0,1.0,,,3.0,1.0,2.0
710656,42.0,1465.0,90.0,F,14.0,,0.0,,,15.0,,9.0,1.0,,,,,1.0
710656,42.0,1438.0,,G,1.0,,0.0,,,,,,,,,,,
710656,42.0,1117.0,,D,3.0,,0.0,,,,,,,,,,,
710656,42.0,1440.0,,D,16.0,,0.0,,,,,,,,,,,
710656,42.0,190.0,,D,17.0,,0.0,,,,,,,,,,,
710656,42.0,127769.0,1.0,F,35.0,,0.0,,,3.0,,2.0,,,,1.0,1.0,
710656,42.0,37127.0,21.0,M,8.0,,0.0,,,10.0,,5.0,2.0,,,2.0,1.0,
710656,42.0,1452.0,12.0,M,25.0,,0.0,,,6.0,2.0,6.0,1.0,,,,,
710656,42.0,3246.0,,F,19.0,,0.0,,,,,,,,,,,
710656,42.0,1468.0,,F,30.0,,0.0,,,,,,,,,,,
710656,38.0,18791.0,90.0,G,1.0,,1.0,,5.0,35.0,,16.0,,,,,,
710656,38.0,18794.0,90.0,D,21.0,,0.0,,,39.0,,34.0,3.0,,2.0,,,2.0
710656,38.0,18793.0,89.0,D,15.0,,0.0,,,34.0,,31.0,,,,,,1.0
710656,38.0,30503.0,90.0,D,13.0,,0.0,,,36.0,1.0,33.0,,1.0,1.0,1.0,1.0,
710656,38.0,167.0,90.0,D,3.0,,0.0,,,30.0,1.0,23.0,1.0,,2.0,,,3.0
710656,38.0,179.0,90.0,M,19.0,,0.0,,,25.0,1.0,18.0,2.0,1.0,1.0,1.0,,
